Unnamed: 0,url,Title,author,num_reviews,num_ratings,avg_rating,Nº pages,Publication_year,Series,genres,Awards,places,Rating,mean_norm_rating
16.0,https://www.goodreads.com/book/show/30064164-simply-dirac,Simply Dirac (Great Lives Book 1),Helge Kragh,8,20,4.05,122,2016,0,Science;Physics;Biography;Nonfiction;Science,,,8.29,1.0986659793814424
17.0,https://www.goodreads.com/book/show/22017708-o-via-descifrat-genomul-meu,O viaţă descifrată. Genomul meu: viaţa mea,J. Craig Venter,91,750,3.75,480,2013,0,Science;Nonfiction;Biography;Science;Biology;Biology;Genetics;Autobiography;Memoir;History;Biography;Autobiography;Biography Memoir;Business,,,7.75,0.5586659793814428
18.0,https://www.goodreads.com/book/show/28189945-unwanted,Unwanted: A Murder Mystery of the Gilded Age,Andrew      Young,14,70,3.46,288,2016,0,Crime;True Crime;History;Nonfiction;Mystery;Mystery;Crime,,,7.228,0.03666597938144267
19.0,https://www.goodreads.com/book/show/1176175.Mary_Tudor,Mary Tudor: A Life,David Loades,7,182,3.98,460,1992,0,History;Biography;Nonfiction;English History;Tudor Period;Historical;European Literature;British Literature,,,8.164000000000001,0.9726659793814427
20.0,https://www.goodreads.com/book/show/18494.Mary_Shelley,Mary Shelley: Romance and Reality,Emily W. Sunstein,6,40,3.83,512,1991,0,Biography,,,7.894,0.7026659793814429
21.0,https://www.goodreads.com/book/show/18698060-okay-okay,Okay Okay: Holy Sh*t Vietnam,Fred Krebsbach,9,12,4.92,194,2016,0,,,,9.856,2.664665979381443
23.0,https://www.goodreads.com/book/show/33399397-knox,Knox: The Anatomist,Isobel Rae,0,1,5.0,164,1964,0,,,,10.0,2.808665979381443
25.0,https://www.goodreads.com/book/show/33801910-black-tar,Black Tar: For the Love of Heroin,Stephen E. Crockett,26,200,3.62,,2014,0,,,,7.516,0.3246659793814429
26.0,https://www.goodreads.com/book/show/333295.Samuel_Pepys,Samuel Pepys: The Unequalled Self,Claire Tomalin,224,5641,3.71,528,2003,0,Biography;History;Nonfiction;European Literature;British Literature;Historical;Biography Memoir;Literature;17th Century;Classics;History;European History;Autobiography;Memoir,4.0,,7.678,0.4866659793814426
27.0,https://www.goodreads.com/book/show/13707595-a-free-man,A Free Man: A True Story of Life and Death in Delhi,Aman Sethi,155,1059,3.72,230,2012,0,Cultural;India;Nonfiction;Autobiography;Memoir;Biography;Biography Memoir;Writing;Journalism;Asian Literature;Indian Literature;Cultural;Asia;Cultural;International;Social Movements;Social Justice,2.0,,7.696,0.5046659793814432
